,SID,Path
0,3037,
1,3029,
2,3028,
3,3025,
4,3024,
5,3021,
6,3012,
7,3008,
8,3003,
9,3T_C2,
10,3T_C3,
11,3T_C5,
12,3T_C9,
13,3T_C10,
14,3T_C13,
15,C01_20150107,
16,C02_20150121,
17,C05_20150304,
18,C06_20150311,
19,C09_20150429,
20,C10_20150513,
21,C11_20150610,
22,C12_20150624,
23,C13_20150708,
24,C01_20150805,
25,C02_20150805,
26,C03_20150819,
27,C04_20150826,
28,C07_20150902,
29,C08_20150911,
30,C10_20150923,
31,C11_20150930,
32,C12_20151001,
33,C13_20151012,
34,C14_20151012,
35,C15_20160208,
36,C16_20160209,
37,C18_20160223,
38,C19_20160308,
39,2,
40,4,
41,5,
42,6,
43,8,
44,9,
45,10,
46,11,
47,12,
48,13,
49,16,
50,20,
51,21,
52,23,
53,24,
54,26,
55,27,
56,29,
57,C132,
58,C189,
59,C193,
60,C212,
61,C221,
62,C262,
63,C281,
64,C289,
65,C291,
66,C300,
67,C318,
68,C369,
69,C385,
70,C394,
71,C427,
72,C470,
73,C496,
74,C712,
75,C714,
76,C811,
77,C857,
78,C953,
79,100836,
80,101066,
81,101162,
82,101195,
83,102904,
84,104504,
85,106122,/media/will/My Passport/Ubuntu/cortical_thickness_maps/all_maps/sub-106122_ses-106122x20160830x3T_CorticalThicknessNormalizedToTemplate.nii.gz
86,106247,
87,106509,
88,106615,
89,106642,
90,107196,
91,107476,
92,108672,
93,109789,
94,111487,
95,111965,
96,112574,
97,114000,
98,114035,
99,114699,
100,116630,
101,117158,
102,117299,
103,117326,
104,117375,
105,117376,
106,117550,
107,118188,
108,118230,
109,118311,
110,118317,/media/will/My Passport/Ubuntu/cortical_thickness_maps/all_maps/sub-118317_ses-118317x20160915x3T_CorticalThicknessNormalizedToTemplate.nii.gz
111,118418,
112,118439,
113,118458,
114,118475,
115,118711,
116,118775,
117,118835,
118,118923,
119,119167,
120,119427,
121,119482,
122,119582,
123,120033,
124,120929,
125,121444,
126,122328,
127,122628,
128,122705,
129,122975,
130,123043,
131,123397,
132,123572,
133,123754,
134,123851,
135,123865,
136,123928,
137,124387,
138,124428,
139,124735,
140,124789,
141,124891,
142,124961,
143,124972,
144,125067,
145,125070,
146,125399,
147,125415,
148,101628_01,
149,102650_01,
150,105476_01,
151,105733_01,
152,106721_01,
153,107970_01,
154,115582_02,
155,100066,
156,100074,
157,100242,
158,100267,
159,100318,
160,100338,
161,100387,
162,100636,
163,100742,
164,100896,
165,100922,
166,100933,
167,101216,
168,101373,
169,101471,
170,101583,
171,101665,
172,101762,
173,101818,
174,102039,
175,102144,
176,102187,
177,102331,
178,102333,
179,102429,
180,102549,
181,102622,
182,102967,
183,103023,
184,103062,
185,103118,
186,103470,
187,103517,
188,103525,
189,103744,
190,103801,
191,103824,
192,103899,
193,103967,
194,104061,
195,104272,
196,104694,
197,104804,
198,104818,
199,104946,
200,105075,
201,105339,
202,105368,
203,105599,
204,105601,
205,105651,
206,105923,
207,105981,
208,106089,
209,106135,
210,106379,
211,106404,
212,106469,
213,106516,
214,106555,
215,106679,
216,106732,
217,106954,
218,106988,
219,107045,
220,107046,
221,107049,
222,107223,
223,107302,
224,107324,
225,107561,
226,107642,
227,107993,
228,108014,
229,108109,
230,108229,
231,108234,
232,108512,
233,108560,
234,108823,
235,108856,
236,109107,
237,109242,
238,109325,
239,109346,
240,109369,
241,109478,
242,109484,
243,109732,
244,109836,
245,109971,
246,110020,
247,110071,
248,110217,
249,110342,
250,110628,
251,110629,
252,110844,
253,110951,
254,111026,
255,111116,
256,111429,
257,111591,
258,111611,
259,111613,
260,111622,
261,111856,
262,111958,
263,112066,
264,112359,
265,112590,
266,112591,
267,112592,
268,112637,
269,112670,
270,112763,
271,112793,
272,112878,
273,112894,
274,112916,
275,112967,
276,113326,
277,113544,
278,113613,
279,113632,
280,114351,
281,114601,
282,114681,
283,114896,
284,114931,
285,115133,
286,115311,
287,115356,
288,115361,
289,115381,
290,115596,
291,116550,
292,118016,
293,118136,
294,118513,
295,118602,
296,118843,
297,118885,
298,118942,
299,119153,
300,119170,
301,119517,/media/will/My Passport/Ubuntu/cortical_thickness_maps/all_maps/sub-119517_ses-20190528-0811_CorticalThicknessNormalizedToTemplate.nii.gz
302,123695,
303,124881,
304,124882,
305,125678,
306,124408,
307,124976,
308,123661,
309,123650,
310,122498,
311,120119,
312,120119.02,
313,120119.03,
314,119530.02,
315,119530.03,
316,118913.06,
317,118913.03,
318,118913.05,
319,111682.03,
320,118459,
321,109050.02,
322,108061.02,
323,108636.02,
324,108636.04,
325,111682.05,
326,111682.04,
327,105769.07,
328,105769.06,
329,108783.07,
330,108783.03,
331,104613.05,
332,123281,
333,107837.15,
334,107837.12,
335,114854.02,
336,106053.13,
337,106053.09,
338,110445.02,
339,110445.03,
340,113113.05,
341,112976.07,
342,112976.06,
343,103108,
344,120229,
345,103703.04,
346,3045,
347,3046,
348,3044,
349,3043,
350,3040,
351,3042,
352,3039,
353,3038,
354,3036,
355,3034,
356,3035,
357,3033,
358,3032,
359,3031,
360,3030,
361,3026,
362,3023,
363,3022,
364,3020,
365,3019,
366,3018,
367,3017,
368,3016,
369,3015,
370,3014,
371,3013,
372,3011,
373,3007,
374,3009,
375,3005,
376,3004,
377,3002,
378,3001,
379,3T_C1,
380,3T_C6,
381,3T_C7,
382,3T_C8,
383,3T_C11,
384,3T_C12,
385,3T_C14,
386,3T_C15,
387,3T_C16,
388,C03_20150204,
389,C07_20150402,
390,C08_20150415,
391,C05_20150826,
392,C09_20150918,
393,C17_20160212,
394,3,
395,7,
396,14,
397,15,
398,22,
399,C103,
400,C105,
401,C127,
402,C130,
403,C134,
404,C140,
405,C148,
406,C154,
407,C172,
408,C196,
409,C198,
410,C207,
411,C209,
412,C210,
413,C219,
414,C220,
415,C232,
416,C238,/media/will/My Passport/Ubuntu/cortical_thickness_maps/all_maps/sub-C238_ses-Baseline_CorticalThicknessNormalizedToTemplate.nii.gz
417,C263,
418,C264,
419,C269,
420,C284,
421,C305,
422,C309,
423,C311,
424,C328,
425,C347,
426,C351,
427,C354,
428,C375,
429,C390,
430,C393,
431,C407,
432,C409,
433,C426,
434,C468,
435,C472,/media/will/My Passport/Ubuntu/cortical_thickness_maps/all_maps/sub-C472_ses-Baseline_CorticalThicknessNormalizedToTemplate.nii.gz
436,C513,
437,C524,
438,C527,
439,C535,
440,C540,
441,C556,
442,C584,
443,C628,
444,C650,
445,C656,
446,C660,
447,C725,
448,C732,
449,C735,
450,C750,
451,C759,
452,C763,
453,C764,
454,C765,
455,C784,
456,C820,
457,C868,
458,C891,
459,C900,
460,C915,
461,C925,
462,C952,
463,C979,
464,C991,
465,C224,NOT SURE  
466,101366,
467,101712,
468,102167,
469,102439,
470,104115,
471,104497,
472,106036,
473,107799,
474,107973,
475,112761,
476,113870,
477,114787,
478,116815,
479,117358,
480,117889,
481,118259,
482,118380,
483,118390,
484,118579,
485,118700,
486,118724,
487,118736,
488,119202,
489,119254,
490,119448,
491,119473,
492,119608,
493,119813,
494,120132,
495,120686,
496,121635,
497,122025,
498,122027,
499,122039,
500,122334,
501,122344,
502,122407,
503,122987,
504,123023,
505,123341,
506,123485,
507,123680,
508,123765,
509,123782,
510,123903,
511,123935,
512,124004,
513,124035,
514,124048,
515,124131,
516,124171,
517,124172,
518,124174,
519,124179,
520,124203,
521,124211,
522,124224,
523,124287,
524,124288,
525,124301,
526,124305,
527,124326,
528,124327,
529,124383,
530,124516,
531,124534,
532,124563,
533,124597,
534,124613,
535,124696,
536,124738,
537,124745,
538,124787,
539,124800,
540,124851,
541,124868,
542,124877,
543,124890,
544,124953,
545,125023,
546,125041,
547,125107,
548,125255,
549,125259,
550,125310,
551,125504,
552,125527,
553,125569,
554,125572,
555,125573,
556,125590,
557,125699,
558,105732_01,
559,106122_01,
560,106615_01,
561,106722_01,
562,109677_01,
563,111275_01,
564,111768_01,
565,112286_01,
566,100115,
567,100190,
568,100268,
569,101080,
570,101091,
571,101162,
572,101184,
573,101212,
574,101499,
575,101698,
576,101749,
577,101773,
578,101845,
579,102005,
580,102010,
581,102154,
582,102160,
583,102193,
584,102265,
585,102470,
586,102632,
587,102828,
588,102894,
589,102974,
590,103073,
591,103712,
592,104021,
593,104077,
594,104102,
595,104161,
596,104787,
597,104796,
598,104966,
599,105002,
600,105006,
601,105083,
602,105130,
603,105154,
604,105466,
605,105510,
606,105521,
607,105574,
608,105693,
609,105985,
610,106073,
611,106104,
612,106447,
613,106521,
614,106634,
615,106897,
616,106910,
617,107093,
618,107396,
619,107474,
620,107554,
621,107605,
622,107654,
623,107818,
624,107977,
625,108550,
626,108627,
627,108732,
628,108853,
629,109007,
630,109075,
631,109139,
632,109194,
633,109286,
634,109375,
635,109417,
636,109474,
637,109479,
638,109480,
639,109481,
640,109559,
641,109561,
642,109651,
643,109657,
644,109758,
645,109811,
646,109862,
647,110036,
648,110097,
649,110099,
650,110354,
651,110489,
652,110491,
653,111151,
654,111157,
655,111937,
656,112166,
657,112171,
658,112186,
659,112519,
660,112525,
661,112578,
662,112657,
663,112887,
664,112932,
665,112935,
666,113180,
667,113314,
668,113385,
669,113483,
670,113629,
671,113786,
672,113920,
673,113970,
674,114042,
675,114281,
676,114319,
677,114364,
678,114367,
679,114588,
680,114647,
681,114793,
682,114794,
683,114819,
684,114851,
685,114915,
686,114923,
687,114996,
688,115042,
689,115168,
690,115226,
691,115261,
692,115269,
693,115497,
694,115522,
695,115629,
696,116603,
697,116736,
698,117169,
699,117201,
700,117239,
701,117242,
702,117259,
703,117365,
704,117383,
705,117389,
706,117621,
707,117809,
708,117813,
709,117814,
710,117816,
711,117819,
712,117821,
713,117822,
714,117825,
715,117827,
716,117829,
717,117834,
718,117866,
719,117872,
720,117889,
721,117964,
722,118010,
723,118017,
724,118083,
725,118097,
726,118137,
727,118139,
728,118169,
729,118177,
730,118225,
731,118227,
732,118252,
733,118254,
734,118443,
735,118458,
736,118476,
737,118510,
738,118529,
739,118547,
740,118548,
741,118552,
742,118609,
743,118628,
744,118631,
745,118653,
746,118661,
747,118669,
748,118678,
749,118703,
750,118708,
751,118717,
752,118725,
753,118738,
754,118772,
755,118861,
756,118872,
757,118896,
758,118918,
759,118941,
760,118948,
761,118996,
762,119013,
763,119014,
764,119060,
765,119063,
766,119108,
767,119120,
768,119129,
769,119130,
770,119147,
771,119158,
772,119159,
773,119187,
774,119205,
775,119238,
776,119256,
777,119316,
778,119317,
779,119372,
780,119420,
781,119421,
782,119450,
783,119451,
784,123553,
785,123662,
786,123699,
787,123756,
788,123944,
789,124186,
790,124747,/media/will/My Passport/Ubuntu/cortical_thickness_maps/all_maps/sub-124747_ses-20190517-1103_CorticalThicknessNormalizedToTemplate.nii.gz
791,125010,
792,125040,
793,125277,/media/will/My Passport/Ubuntu/cortical_thickness_maps/all_maps/sub-125277_ses-20200130-1020_CorticalThicknessNormalizedToTemplate.nii.gz
794,124847,
795,124202,
796,124226,
797,123119,
798,118913.02,
799,118913.04,
800,105402.02,
801,109050.03,
802,109476.04,
803,109476.06,
804,120756,
805,108783.06,
806,106053.14,
807,106053.06,
808,124591,
809,109300.04,
810,125781,
811,125333,
812,3027,
813,3T_C4,
814,C14_20150722,
815,C15_20150722,
816,1,
817,17,
818,18,
819,19,
820,25,
821,28,
822,30,
823,C178,
824,C412,
825,C602,
826,C642,
827,C701,
828,C776,
829,102115,
830,103907,
831,106992,
832,115050,
833,115381,
834,115587,
835,117870,
836,118743,
837,118998,/media/will/My Passport/Ubuntu/cortical_thickness_maps/all_maps/sub-118998_ses-118998x20160901x3T_CorticalThicknessNormalizedToTemplate.nii.gz
838,119035,
839,119363,
840,119374,
841,119390,
842,119989,
843,121899,
844,122100,
845,122152,
846,122395,
847,122702,
848,123072,
849,123367,
850,123733,
851,123950,
852,123953,
853,124212,
854,124592,
855,124650,
856,125901,
857,125944,
858,100905_01,
859,125677,
860,122550,
861,108783.02,
862,108783.11,
863,108783.1,
864,101841.02,
865,101470.02,
866,100979,
867,105114,
868,106069,
869,109177,
870,112002,
871,114783,
872,125530,
873,125542,
874,125278,
875,120841,
876,122700,
877,107837.1,
878,110445.05,
879,124249,
